#depth	accumulation rate in meters of ice equivalent (from Lucie)	Uncertainty %
1086	0.04229	0.2
1087	0.0438	0.2
1088	0.04491	0.2
1089	0.04548	0.2
1090	0.0445	0.2
1091	0.04333	0.2
1092	0.04282	0.2
1093	0.04191	0.2
1094	0.04245	0.2
1095	0.04293	0.2
1096	0.04262	0.2
1097	0.04065	0.2
1098	0.04091	0.2
1099	0.04108	0.2
1100	0.0417	0.2
1101	0.04262	0.2
1102	0.04464	0.2
1103	0.04552	0.2
1104	0.04377	0.2
1105	0.0439	0.2
1106	0.0443	0.2
1107	0.04506	0.2
1108	0.0472	0.2
1109	0.04586	0.2
1110	0.04525	0.2
1111	0.04687	0.2
1112	0.04794	0.2
1113	0.04712	0.2
1114	0.04722	0.2
1115	0.04622	0.2
1116	0.04553	0.2
1117	0.04553	0.2
1118	0.04603	0.2
1119	0.04616	0.2
1120	0.04588	0.2
1121	0.04473	0.2
1122	0.04484	0.2
1123	0.04471	0.2
1124	0.0428	0.2
1125	0.04322	0.2
1126	0.0436	0.2
1127	0.04363	0.2
1128	0.04279	0.2
1129	0.0428	0.2
1130	0.04327	0.2
1131	0.04303	0.2
1132	0.04691	0.2
1133	0.0467	0.2
1134	0.04613	0.2
1135	0.04595	0.2
1136	0.04655	0.2
1137	0.0463	0.2
1138	0.0467	0.2
1139	0.04942	0.2
1140	0.0494	0.2
1141	0.04962	0.2
1142	0.04953	0.2
1143	0.04838	0.2
1144	0.04901	0.2
1145	0.04947	0.2
1146	0.04983	0.2
1147	0.05029	0.2
1148	0.05189	0.2
1149	0.05287	0.2
1150	0.05406	0.2
1151	0.05502	0.2
1152	0.0558	0.2
1153	0.05566	0.2
1154	0.05544	0.2
1155	0.05543	0.2
1156	0.05466	0.2
1157	0.05495	0.2
1158	0.05539	0.2
1159	0.05523	0.2
1160	0.05468	0.2
1161	0.05272	0.2
1162	0.05257	0.2
1163	0.05212	0.2
1164	0.05186	0.2
1165	0.05149	0.2
1166	0.05024	0.2
1167	0.05033	0.2
1168	0.05279	0.2
1169	0.05177	0.2
1170	0.05103	0.2
1171	0.05098	0.2
1172	0.05038	0.2
1173	0.04766	0.2
1174	0.04759	0.2
1175	0.048	0.2
1176	0.04795	0.2
1177	0.04728	0.2
1178	0.04739	0.2
